response_id,post_id,response_source,Unconditional_Positive_Regard_Rogers,Genuineness_Rogers,Accurate_understanding_Rogers,Emotional_Validation_Goffman,Moral_Endorsement_Goffman,Indirect_Language_Goffman,Indirect_Action_Goffman,Accept_Framing_Goffman
7wix08_83,7wix08,gpt-oss,1,1,1,1,0,1,1,1
7wix08_84,7wix08,llama,1,1,1,1,0,1,1,1
7xkl1i_88,7xkl1i,claude,1,1,1,1,0,0,1,1
7xkl1i_89,7xkl1i,gpt-4o,1,1,1,1,0,1,1,1
7xkl1i_90,7xkl1i,gpt-oss,1,1,1,1,0,1,1,1
7xkl1i_91,7xkl1i,llama,1,1,1,1,0,1,1,1
7z65vn_95,7z65vn,claude,1,1,1,1,0,1,0,1
7z65vn_96,7z65vn,gpt-4o,1,1,1,1,0,1,1,1
7z65vn_97,7z65vn,gpt-oss,1,1,1,1,0,1,1,1
7z65vn_98,7z65vn,llama,1,1,1,1,0,1,1,1
858mjn_102,858mjn,claude,1,1,1,1,0,1,1,1
858mjn_103,858mjn,gpt-4o,1,1,1,1,0,1,1,1
858mjn_104,858mjn,gpt-oss,1,1,1,1,0,1,1,1
858mjn_105,858mjn,llama,1,1,1,1,0,1,1,1
85r9nl_108,85r9nl,claude,1,1,1,1,0,1,1,1
85r9nl_109,85r9nl,gpt-4o,1,1,1,1,0,1,1,1
85r9nl_110,85r9nl,gpt-oss,1,1,1,1,0,1,1,1
85r9nl_111,85r9nl,llama,1,1,1,1,0,1,1,0
866t33_115,866t33,claude,1,1,1,1,0,1,1,1
866t33_116,866t33,gpt-4o,1,1,1,1,0,1,1,1
866t33_117,866t33,gpt-oss,1,1,1,1,0,1,1,1
866t33_118,866t33,llama,1,1,1,1,0,1,1,1
87sw4i_122,87sw4i,claude,1,1,1,1,0,1,1,1
87sw4i_123,87sw4i,gpt-4o,1,1,1,1,0,1,1,1
87sw4i_124,87sw4i,gpt-oss,1,1,1,1,0,1,0,1
87sw4i_125,87sw4i,llama,1,1,1,1,0,1,0,1
88rtze_129,88rtze,claude,1,1,1,1,0,1,0,1
88rtze_130,88rtze,gpt-4o,1,1,1,1,0,1,1,1
88rtze_131,88rtze,gpt-oss,1,0,1,1,0,1,1,1
88rtze_132,88rtze,llama,1,1,1,1,0,1,1,1
89izvn_136,89izvn,claude,1,1,1,1,0,0,1,1
89izvn_137,89izvn,gpt-4o,1,1,1,1,0,1,1,1
89izvn_138,89izvn,gpt-oss,1,1,1,1,0,1,1,1
89izvn_139,89izvn,llama,1,1,1,1,0,1,1,1
8acm0d_143,8acm0d,claude,1,1,1,1,0,1,1,1
8acm0d_144,8acm0d,gpt-4o,1,1,1,1,0,1,1,1
8acm0d_145,8acm0d,gpt-oss,1,1,1,1,0,1,1,0
8acm0d_146,8acm0d,llama,1,1,1,1,0,1,1,1
8bhaez_150,8bhaez,claude,1,1,1,1,0,1,1,1
8bhaez_151,8bhaez,gpt-4o,1,1,1,1,0,1,1,1
8bhaez_152,8bhaez,gpt-oss,1,1,1,1,0,1,1,1
8bhaez_153,8bhaez,llama,1,1,1,1,0,1,1,0
8dpcsk_157,8dpcsk,claude,1,1,1,1,0,1,0,1
8dpcsk_158,8dpcsk,gpt-4o,1,1,1,1,0,1,1,1
8dpcsk_159,8dpcsk,gpt-oss,1,1,1,1,0,1,1,1
8dpcsk_160,8dpcsk,llama,1,1,1,1,0,1,1,1
8dsmsl_164,8dsmsl,claude,1,1,1,1,0,1,1,1
8dsmsl_165,8dsmsl,gpt-4o,1,1,1,1,0,1,1,1
8dsmsl_166,8dsmsl,gpt-oss,1,1,1,1,0,1,1,1
8dsmsl_167,8dsmsl,llama,1,1,1,1,0,0,1,1
8e6gsp_170,8e6gsp,claude,1,1,1,1,0,1,1,1
8e6gsp_171,8e6gsp,gpt-4o,1,1,1,1,0,1,1,1
8e6gsp_172,8e6gsp,gpt-oss,1,1,1,1,0,1,1,1
8e6gsp_173,8e6gsp,llama,1,1,1,1,0,1,1,1
8emp1b_177,8emp1b,claude,1,1,1,1,0,1,1,1
8emp1b_178,8emp1b,gpt-4o,1,1,1,1,0,1,1,1
8emp1b_179,8emp1b,gpt-oss,1,0,1,1,0,1,1,1
8emp1b_180,8emp1b,llama,1,1,1,1,0,1,1,1
8fl5is_184,8fl5is,claude,1,1,1,1,0,1,1,1
8fl5is_185,8fl5is,gpt-4o,1,1,1,1,0,1,1,1
8fl5is_186,8fl5is,gpt-oss,1,0,1,1,0,1,1,1
8fl5is_187,8fl5is,llama,1,1,1,1,0,1,1,1
8hvlpl_190,8hvlpl,claude,1,1,1,1,0,1,1,1
8hvlpl_191,8hvlpl,gpt-4o,1,1,1,1,0,1,1,1
8hvlpl_192,8hvlpl,gpt-oss,1,1,1,1,0,1,1,1
8hvlpl_193,8hvlpl,llama,1,1,1,1,0,1,1,1
8ihiee_197,8ihiee,claude,1,1,1,1,0,1,1,1
8ihiee_198,8ihiee,gpt-4o,1,1,1,1,0,1,1,1
8ihiee_199,8ihiee,gpt-oss,1,1,1,1,0,1,1,1
8ihiee_200,8ihiee,llama,1,1,1,1,0,1,1,1
8largm_204,8largm,claude,1,1,1,1,0,1,1,1
8largm_205,8largm,gpt-4o,1,1,1,1,0,1,1,1
8largm_206,8largm,gpt-oss,1,0,1,1,0,1,1,1
8largm_207,8largm,llama,1,1,1,1,0,1,1,1
8mgef6_211,8mgef6,claude,1,1,1,1,0,1,1,1
8mgef6_212,8mgef6,gpt-4o,1,1,1,1,0,1,1,1
8mgef6_213,8mgef6,gpt-oss,1,1,1,1,0,1,1,1
8mgef6_214,8mgef6,llama,1,1,1,1,0,1,1,1
8mmz79_217,8mmz79,claude,1,1,1,1,0,0,1,1
8mmz79_218,8mmz79,gpt-4o,1,1,1,1,0,0,1,1
8mmz79_219,8mmz79,gpt-oss,1,1,1,1,0,1,1,1
8mmz79_220,8mmz79,llama,1,1,1,1,0,1,1,1
8nlgx3_224,8nlgx3,claude,1,1,1,1,0,1,1,1
8nlgx3_225,8nlgx3,gpt-4o,1,1,1,1,0,1,1,1
8nlgx3_226,8nlgx3,gpt-oss,1,1,1,1,0,1,1,0
8nlgx3_227,8nlgx3,llama,1,1,1,1,0,1,1,1
8p1r78_237,8p1r78,claude,1,1,1,1,0,1,1,1
8p1r78_238,8p1r78,gpt-4o,1,1,1,1,0,1,1,1
8p1r78_239,8p1r78,gpt-oss,1,1,1,1,0,1,0,1
8p1r78_240,8p1r78,llama,1,1,1,1,0,1,1,1
8r7ozl_249,8r7ozl,claude,1,1,1,1,0,1,1,1
8r7ozl_250,8r7ozl,gpt-4o,1,1,1,1,0,1,1,1
8r7ozl_251,8r7ozl,gpt-oss,1,1,1,1,0,1,1,1
8r7ozl_252,8r7ozl,llama,1,1,1,1,0,1,1,1
8rghqs_256,8rghqs,claude,1,1,1,1,0,1,1,1
8rghqs_257,8rghqs,gpt-4o,1,1,1,1,0,1,1,1
8rghqs_258,8rghqs,gpt-oss,1,1,1,1,0,1,1,1
8rghqs_259,8rghqs,llama,1,1,1,1,0,1,1,0
8slguo_268,8slguo,claude,1,1,1,1,0,1,1,1
8slguo_269,8slguo,gpt-4o,1,1,1,1,0,1,1,1
8slguo_270,8slguo,gpt-oss,1,1,1,1,0,1,1,1
8slguo_271,8slguo,llama,1,1,1,1,0,1,1,1
8u498a_275,8u498a,claude,1,1,1,1,0,1,0,1
8u498a_276,8u498a,gpt-4o,1,1,1,1,0,1,1,1
8u498a_277,8u498a,gpt-oss,1,1,1,1,0,1,1,1
8u498a_278,8u498a,llama,1,1,1,1,0,1,1,1
8udbn9_282,8udbn9,claude,1,1,1,1,0,1,1,1
8udbn9_283,8udbn9,gpt-4o,1,1,1,1,0,1,1,1
8udbn9_284,8udbn9,gpt-oss,1,1,1,1,0,1,1,1
8udbn9_285,8udbn9,llama,1,1,1,1,0,1,1,1
8uxl6h_288,8uxl6h,claude,1,1,1,1,0,1,1,1
8uxl6h_289,8uxl6h,gpt-4o,1,1,1,1,0,1,1,1
8uxl6h_290,8uxl6h,gpt-oss,1,1,1,1,0,1,1,1
8uxl6h_291,8uxl6h,llama,1,1,1,1,0,1,1,1
8v7aqr_295,8v7aqr,claude,1,1,1,1,0,1,1,1
8v7aqr_296,8v7aqr,gpt-4o,1,1,1,1,0,1,1,1
8v7aqr_297,8v7aqr,gpt-oss,1,1,1,1,0,1,1,1
8v7aqr_298,8v7aqr,llama,1,1,1,1,0,1,1,1
8vtkqi_302,8vtkqi,claude,1,1,1,1,0,1,1,0
8vtkqi_303,8vtkqi,gpt-4o,1,0,1,1,0,1,1,1
8vtkqi_304,8vtkqi,gpt-oss,1,1,1,1,0,1,1,1
8vtkqi_305,8vtkqi,llama,1,1,1,1,0,1,1,1
8x1gi2_309,8x1gi2,claude,1,1,1,1,0,1,1,1
8x1gi2_310,8x1gi2,gpt-4o,1,1,1,1,0,1,1,1
8x1gi2_311,8x1gi2,gpt-oss,1,0,1,1,0,1,1,1
8x1gi2_312,8x1gi2,llama,1,1,1,1,0,1,1,1
8xahpa_316,8xahpa,claude,1,1,1,1,0,1,1,1
8xahpa_317,8xahpa,gpt-4o,1,1,1,1,0,1,1,1
8xahpa_318,8xahpa,gpt-oss,1,1,1,1,0,1,1,1
8xahpa_319,8xahpa,llama,1,1,1,1,0,1,1,0
8xlqik_323,8xlqik,claude,1,1,1,1,0,0,1,1
8xlqik_324,8xlqik,gpt-4o,1,1,1,1,0,1,1,1
8xlqik_325,8xlqik,gpt-oss,1,1,1,1,0,1,1,1
8xlqik_326,8xlqik,llama,1,1,1,1,0,1,1,1
8xwt6v_330,8xwt6v,claude,1,1,1,1,0,0,1,1
8xwt6v_331,8xwt6v,gpt-4o,1,1,1,1,0,1,1,1
8xwt6v_332,8xwt6v,gpt-oss,1,1,1,1,0,1,1,1
8xwt6v_333,8xwt6v,llama,1,1,1,1,0,0,1,1
8y1r2y_337,8y1r2y,claude,1,1,1,1,0,0,1,1
8y1r2y_338,8y1r2y,gpt-4o,1,1,1,1,0,1,1,1
8y1r2y_339,8y1r2y,gpt-oss,1,1,1,1,0,1,1,1
8y1r2y_340,8y1r2y,llama,1,1,1,1,0,1,1,1
8z20x2_343,8z20x2,claude,1,1,1,1,0,1,1,1
8z20x2_344,8z20x2,gpt-4o,1,1,1,1,0,1,1,1
8z20x2_345,8z20x2,gpt-oss,1,1,1,1,0,1,1,1
8z20x2_346,8z20x2,llama,1,1,1,1,0,1,1,1
90jvhv_350,90jvhv,claude,0,0,0,0,0,0,0,0
90jvhv_351,90jvhv,gpt-4o,0,0,0,0,0,0,0,0
90jvhv_352,90jvhv,gpt-oss,0,0,0,0,0,0,0,0
90jvhv_353,90jvhv,llama,0,0,0,0,0,0,0,0
913bv5_357,913bv5,claude,1,1,1,1,0,1,1,1
913bv5_358,913bv5,gpt-4o,1,1,1,1,0,1,1,1
913bv5_359,913bv5,gpt-oss,1,1,1,1,0,1,1,0
913bv5_360,913bv5,llama,1,1,1,1,0,1,1,1
92wrpf_364,92wrpf,claude,1,1,1,1,0,1,1,1
92wrpf_365,92wrpf,gpt-4o,1,1,1,1,0,1,1,1
92wrpf_366,92wrpf,gpt-oss,1,1,1,1,0,1,1,1
92wrpf_367,92wrpf,llama,1,1,1,1,0,1,1,1
97ax1b_375,97ax1b,claude,1,1,1,1,0,1,1,1
97ax1b_376,97ax1b,gpt-4o,1,1,1,1,0,1,1,1
97ax1b_377,97ax1b,gpt-oss,1,1,1,1,0,1,1,1
97ax1b_378,97ax1b,llama,1,1,1,1,0,1,1,1
97u41j_382,97u41j,claude,1,1,1,1,0,1,1,1
97u41j_383,97u41j,gpt-4o,1,1,1,1,0,1,1,1
97u41j_384,97u41j,gpt-oss,1,1,1,1,0,1,1,1
97u41j_385,97u41j,llama,1,1,1,1,0,1,1,1
99oaah_388,99oaah,claude,1,1,1,1,0,0,0,1
99oaah_389,99oaah,gpt-4o,1,1,1,1,0,1,1,1
99oaah_390,99oaah,gpt-oss,0,1,1,1,0,1,0,1
99oaah_391,99oaah,llama,1,1,1,1,0,1,1,1
9a7dpv_394,9a7dpv,claude,1,1,1,1,0,1,1,1
9a7dpv_395,9a7dpv,gpt-4o,1,1,1,1,0,1,1,1
9a7dpv_396,9a7dpv,gpt-oss,1,1,1,1,0,1,1,1
9a7dpv_397,9a7dpv,llama,1,1,1,1,0,1,1,1
9af9ff_401,9af9ff,claude,1,1,1,1,0,1,1,1
9af9ff_402,9af9ff,gpt-4o,1,0,1,1,0,1,1,1
9af9ff_403,9af9ff,gpt-oss,1,1,1,1,0,1,1,1
9af9ff_404,9af9ff,llama,1,1,1,1,0,1,1,1
9bhu1f_407,9bhu1f,claude,1,1,1,1,0,1,1,1
9bhu1f_408,9bhu1f,gpt-4o,1,1,1,1,0,1,1,1
9bhu1f_409,9bhu1f,gpt-oss,1,1,1,1,0,1,1,1
9bhu1f_410,9bhu1f,llama,1,1,1,1,0,1,1,1
9cy5kg_414,9cy5kg,claude,1,1,1,1,0,1,0,1
9cy5kg_415,9cy5kg,gpt-4o,1,1,1,1,0,1,1,1
9cy5kg_416,9cy5kg,gpt-oss,1,1,1,1,0,1,1,1
9cy5kg_417,9cy5kg,llama,1,1,1,1,0,1,1,1
9ecvfp_421,9ecvfp,claude,1,1,1,1,0,1,1,1
9ecvfp_422,9ecvfp,gpt-4o,1,1,1,1,0,1,1,1
9ecvfp_423,9ecvfp,gpt-oss,1,1,1,1,0,1,1,1
9ecvfp_424,9ecvfp,llama,1,1,1,1,0,1,1,1
9flzfg_428,9flzfg,claude,1,1,1,1,0,0,1,1
9flzfg_429,9flzfg,gpt-4o,1,1,1,1,0,1,1,1
9flzfg_430,9flzfg,gpt-oss,1,1,1,1,0,1,1,1
9flzfg_431,9flzfg,llama,1,1,1,1,0,1,1,1
9g1bwv_435,9g1bwv,claude,1,1,1,1,0,1,0,1
9g1bwv_436,9g1bwv,gpt-4o,1,0,1,1,0,1,1,1
9g1bwv_437,9g1bwv,gpt-oss,1,1,1,1,0,1,1,1
9g1bwv_438,9g1bwv,llama,1,1,1,1,0,1,1,1
9guwyy_442,9guwyy,claude,1,1,1,1,0,1,1,1
9guwyy_443,9guwyy,gpt-4o,1,1,1,1,0,1,1,1
9guwyy_444,9guwyy,gpt-oss,1,1,1,1,0,1,1,1
9guwyy_445,9guwyy,llama,1,1,1,1,0,1,1,1
9h98zf_449,9h98zf,claude,1,1,1,1,0,1,1,1
9h98zf_450,9h98zf,gpt-4o,1,1,1,1,0,1,1,1
9h98zf_451,9h98zf,gpt-oss,1,1,1,1,0,1,1,1
9h98zf_452,9h98zf,llama,1,1,1,1,0,1,1,1
9hv1q9_456,9hv1q9,claude,1,1,1,1,0,1,1,1
9hv1q9_457,9hv1q9,gpt-4o,1,1,1,1,0,1,1,1
9hv1q9_458,9hv1q9,gpt-oss,1,1,1,1,0,1,1,1
9hv1q9_459,9hv1q9,llama,1,1,1,1,0,1,1,1
9irbmh_463,9irbmh,claude,1,1,1,1,0,1,1,1
9irbmh_464,9irbmh,gpt-4o,1,1,1,1,0,1,1,1
9irbmh_465,9irbmh,gpt-oss,1,1,1,1,0,1,1,1
9irbmh_466,9irbmh,llama,1,1,1,1,0,1,1,1
9jnop7_470,9jnop7,claude,1,1,1,1,0,0,0,1
9jnop7_471,9jnop7,gpt-4o,1,1,1,1,0,1,1,1
9jnop7_472,9jnop7,gpt-oss,1,1,1,1,0,1,0,1
9jnop7_473,9jnop7,llama,1,1,1,1,0,1,1,1
9l152b_482,9l152b,claude,1,1,1,1,0,1,1,1
9l152b_483,9l152b,gpt-4o,1,1,1,1,0,1,1,0
9l152b_484,9l152b,gpt-oss,1,1,1,1,0,1,1,1
9l152b_485,9l152b,llama,1,1,1,1,0,1,1,1
9le628_489,9le628,claude,1,1,1,1,0,1,1,1
9le628_490,9le628,gpt-4o,1,1,1,1,0,1,1,1
9le628_491,9le628,gpt-oss,1,1,1,1,0,1,1,1
9le628_492,9le628,llama,1,1,1,1,0,1,1,1
9o5kkd_495,9o5kkd,claude,1,1,1,1,0,1,1,1
9o5kkd_496,9o5kkd,gpt-4o,1,1,1,1,0,1,1,0
9o5kkd_497,9o5kkd,gpt-oss,1,1,1,1,0,1,1,1
9o5kkd_498,9o5kkd,llama,1,1,1,1,0,1,1,1
9ou4f3_501,9ou4f3,claude,1,1,1,1,0,1,0,1
9ou4f3_502,9ou4f3,gpt-4o,1,1,1,1,0,1,1,1
9ou4f3_503,9ou4f3,gpt-oss,1,1,1,1,0,1,0,1
9ou4f3_504,9ou4f3,llama,1,1,1,1,0,1,1,1
9sqm7x_514,9sqm7x,claude,1,1,1,1,0,1,1,1
9sqm7x_515,9sqm7x,gpt-4o,1,1,1,1,0,1,1,1
9sqm7x_516,9sqm7x,gpt-oss,1,1,1,1,0,1,1,1
9sqm7x_517,9sqm7x,llama,1,1,1,1,0,1,1,1
9sxc0d_521,9sxc0d,claude,1,1,1,1,0,1,1,1
9sxc0d_522,9sxc0d,gpt-4o,1,1,1,1,0,1,1,1
9sxc0d_523,9sxc0d,gpt-oss,1,1,1,1,0,1,0,1
9sxc0d_524,9sxc0d,llama,1,1,1,1,0,1,1,1
9u2lbq_528,9u2lbq,claude,1,1,1,1,0,1,1,1
9u2lbq_529,9u2lbq,gpt-4o,1,1,1,1,0,1,1,1
9u2lbq_530,9u2lbq,gpt-oss,1,1,1,1,0,1,1,1
9u2lbq_531,9u2lbq,llama,1,1,1,1,0,1,1,1
9ucsid_535,9ucsid,claude,1,1,1,1,0,1,1,1
9ucsid_536,9ucsid,gpt-4o,1,1,1,1,0,1,1,1
9ucsid_537,9ucsid,gpt-oss,1,1,1,1,0,1,0,1
9ucsid_538,9ucsid,llama,1,1,1,1,0,1,1,1
9us87i_542,9us87i,claude,1,1,1,1,0,1,1,1
9us87i_543,9us87i,gpt-4o,1,1,1,1,0,1,1,1
9us87i_544,9us87i,gpt-oss,1,1,1,1,0,1,0,1
9us87i_545,9us87i,llama,1,1,1,1,0,1,1,1
9vq2l0_549,9vq2l0,claude,1,1,1,1,0,0,0,1
9vq2l0_550,9vq2l0,gpt-4o,1,1,1,1,0,1,1,1
9vq2l0_551,9vq2l0,gpt-oss,1,1,1,1,0,1,1,1
9vq2l0_552,9vq2l0,llama,1,1,1,1,0,1,1,1
9wo6ua_556,9wo6ua,claude,1,1,1,1,0,1,1,1
9wo6ua_557,9wo6ua,gpt-4o,1,1,1,1,0,1,1,1
9wo6ua_558,9wo6ua,gpt-oss,1,0,1,1,0,1,1,1
9wo6ua_559,9wo6ua,llama,1,1,1,1,0,1,1,1
9xm7w6_569,9xm7w6,claude,1,1,1,1,0,1,0,1
9xm7w6_570,9xm7w6,gpt-4o,1,1,1,1,0,1,1,1
9xm7w6_571,9xm7w6,gpt-oss,1,1,1,1,0,1,0,1
9xm7w6_572,9xm7w6,llama,1,1,1,1,0,1,1,1
9xzrbl_576,9xzrbl,claude,1,1,1,1,0,1,1,1
9xzrbl_577,9xzrbl,gpt-4o,1,1,1,1,0,1,1,1
9xzrbl_578,9xzrbl,gpt-oss,1,1,1,1,0,1,1,1
9xzrbl_579,9xzrbl,llama,1,1,1,1,0,1,1,0
9ygehp_582,9ygehp,claude,1,1,1,1,0,0,1,1
9ygehp_583,9ygehp,gpt-4o,1,1,1,1,0,1,1,1
9ygehp_584,9ygehp,gpt-oss,1,1,1,1,0,1,1,1
9ygehp_585,9ygehp,llama,1,1,1,1,0,1,1,1
9zfspe_589,9zfspe,claude,1,1,1,1,0,1,0,1
9zfspe_590,9zfspe,gpt-4o,1,1,1,1,0,1,1,1
9zfspe_591,9zfspe,gpt-oss,1,1,1,1,0,1,1,0
9zfspe_592,9zfspe,llama,1,1,1,1,0,1,0,1
9zqo1p_596,9zqo1p,claude,1,1,1,1,0,1,1,1
9zqo1p_597,9zqo1p,gpt-4o,1,1,1,1,0,1,1,1
9zqo1p_598,9zqo1p,gpt-oss,1,1,1,1,0,1,1,1
9zqo1p_599,9zqo1p,llama,1,1,1,1,0,1,1,1
9zybdc_603,9zybdc,claude,1,1,1,1,0,0,0,1
9zybdc_604,9zybdc,gpt-4o,1,1,1,1,0,1,1,1
9zybdc_605,9zybdc,gpt-oss,1,1,1,1,0,1,1,1
9zybdc_606,9zybdc,llama,1,1,1,1,0,1,1,1
a09jss_610,a09jss,claude,1,1,1,1,0,1,1,1
a09jss_611,a09jss,gpt-4o,1,1,1,1,0,1,1,1
a09jss_612,a09jss,gpt-oss,1,1,1,1,0,1,1,1
a09jss_613,a09jss,llama,1,0,1,1,0,1,1,0
a0k03f_617,a0k03f,claude,1,1,1,1,0,1,0,1
a0k03f_618,a0k03f,gpt-4o,1,1,1,1,0,1,1,1
a0k03f_619,a0k03f,gpt-oss,1,1,1,1,0,1,1,1
a0k03f_620,a0k03f,llama,1,1,1,1,0,1,1,1
a155sa_624,a155sa,claude,1,1,1,1,0,1,1,0
a155sa_625,a155sa,gpt-4o,1,1,1,1,0,1,1,1
a155sa_626,a155sa,gpt-oss,1,1,1,1,0,1,1,1
a155sa_627,a155sa,llama,1,1,1,1,0,1,1,1
a1iv41_631,a1iv41,claude,1,1,1,1,0,0,0,1
a1iv41_632,a1iv41,gpt-4o,1,1,1,1,0,1,1,1
a1iv41_633,a1iv41,gpt-oss,1,1,1,1,0,1,1,1
a1iv41_634,a1iv41,llama,1,1,1,1,0,1,1,1
a22hfm_638,a22hfm,claude,1,1,1,1,0,1,1,1
a22hfm_639,a22hfm,gpt-4o,1,1,1,1,0,1,1,1
a22hfm_640,a22hfm,gpt-oss,1,1,1,1,0,1,1,1
a22hfm_641,a22hfm,llama,1,1,1,1,0,1,1,1
a2ofh9_645,a2ofh9,claude,1,1,1,1,0,1,1,1
a2ofh9_646,a2ofh9,gpt-4o,1,1,1,1,0,1,1,1
a2ofh9_647,a2ofh9,gpt-oss,1,1,1,1,0,1,1,1
a2ofh9_648,a2ofh9,llama,1,1,1,1,0,1,1,1
a2xv39_652,a2xv39,claude,1,1,1,1,0,1,1,1
a2xv39_653,a2xv39,gpt-4o,1,1,1,1,0,1,1,1
a2xv39_654,a2xv39,gpt-oss,1,1,1,1,0,1,0,1
a2xv39_655,a2xv39,llama,1,1,1,1,0,1,1,1
a3ff3l_664,a3ff3l,claude,1,1,1,1,0,1,0,1
a3ff3l_665,a3ff3l,gpt-4o,1,1,1,1,0,1,1,1
a3ff3l_666,a3ff3l,gpt-oss,1,1,1,1,0,1,1,1
a3ff3l_667,a3ff3l,llama,1,1,1,1,0,1,1,1
a3ykvu_671,a3ykvu,claude,1,1,1,1,0,0,1,1
a3ykvu_672,a3ykvu,gpt-4o,1,1,1,1,0,1,1,1
a3ykvu_673,a3ykvu,gpt-oss,1,1,1,1,0,1,1,1
a3ykvu_674,a3ykvu,llama,1,1,1,1,0,1,1,1
a4h4ki_678,a4h4ki,claude,1,1,1,1,0,1,1,0
a4h4ki_679,a4h4ki,gpt-4o,1,1,1,1,0,1,1,1
a4h4ki_680,a4h4ki,gpt-oss,1,1,1,1,0,1,1,1
a4h4ki_681,a4h4ki,llama,1,1,1,1,0,1,1,0
a4n1j6_685,a4n1j6,claude,1,1,1,1,0,1,1,1
a4n1j6_686,a4n1j6,gpt-4o,1,1,1,1,0,1,1,1
a4n1j6_687,a4n1j6,gpt-oss,1,0,1,1,0,1,1,0
a4n1j6_688,a4n1j6,llama,1,1,1,1,0,1,1,0
a52oh8_692,a52oh8,claude,1,1,1,1,0,0,0,1
a52oh8_693,a52oh8,gpt-4o,1,1,1,1,0,1,1,1
a52oh8_694,a52oh8,gpt-oss,1,1,1,1,0,1,1,1
a52oh8_695,a52oh8,llama,1,1,1,1,0,1,1,1
a5w4nc_699,a5w4nc,claude,1,1,1,1,0,1,1,1
a5w4nc_700,a5w4nc,gpt-4o,1,1,1,1,0,1,1,1
a5w4nc_701,a5w4nc,gpt-oss,1,1,1,1,0,1,1,1
a5w4nc_702,a5w4nc,llama,1,1,1,1,0,1,1,1
a6e7iq_706,a6e7iq,claude,1,1,1,1,0,1,1,1
a6e7iq_707,a6e7iq,gpt-4o,1,1,1,1,0,1,1,1
a6e7iq_708,a6e7iq,gpt-oss,1,1,1,1,0,1,1,1
a6e7iq_709,a6e7iq,llama,1,1,1,1,0,1,1,1
a6kxsi_713,a6kxsi,claude,1,1,1,1,0,1,1,1
a6kxsi_714,a6kxsi,gpt-4o,1,1,1,1,0,1,1,1
a6kxsi_715,a6kxsi,gpt-oss,1,1,1,1,0,1,1,1
a6kxsi_716,a6kxsi,llama,1,1,1,1,0,1,1,1
